# 多动作冲突感知梯度累积

五种动作各 12 条经验按轮交错。`direct` 全写入；`positive_filter` 对当前梯度与历史累计方向余弦小于 0 的经验跳过；`project` 消除该负向分量并保持相同单步参数 L2。剂量按动作数平方根归一，使五动作近似正交时的联合 RMS 参数剂量等于此前单动作 10× 正式剂量。

## valid_seen

### last_mlp

重算/恢复/梯度复现最大误差：0 / 0 / 0。

| 策略 | 轮次/经验 | 接受/投影 | 实际漂移 L2 | 同动作留出 ΔV [verb-bootstrap 95% CI] | 同任务异动作 ΔV | 异任务异动作 ΔV | 同动作 flip / harm |
|---|---:|---:|---:|---:|---:|---:|---:|
| direct | 1/5 | 5/0 | 0.027586 | -0.001654 [-0.005768,+0.003563] | -0.004140 | +0.001082 | 0.0% / 0.0% |
| direct | 4/20 | 20/0 | 0.073585 | -0.025776 [-0.059088,+0.003703] | -0.021498 | -0.000621 | 20.0% / 13.3% |
| direct | 8/40 | 40/0 | 0.110846 | -0.010834 [-0.030473,+0.009120] | -0.017618 | +0.003656 | 16.7% / 10.0% |
| direct | 12/60 | 60/0 | 0.172016 | +0.028987 [+0.005793,+0.061836] | -0.001049 | +0.007929 | 30.0% / 16.7% |
| positive_filter | 1/5 | 4/0 | 0.031072 | -0.011305 [-0.027064,+0.002785] | -0.010415 | +0.000324 | 10.0% / 10.0% |
| positive_filter | 4/20 | 13/0 | 0.087321 | -0.056814 [-0.122374,+0.000664] | -0.041027 | -0.005070 | 30.0% / 23.3% |
| positive_filter | 8/40 | 23/0 | 0.170262 | -0.107933 [-0.214623,-0.004236] | -0.071822 | -0.016436 | 33.3% / 26.7% |
| positive_filter | 12/60 | 31/0 | 0.216958 | -0.115652 [-0.227945,-0.003360] | -0.080597 | -0.018069 | 36.7% / 26.7% |
| project | 1/5 | 5/2 | 0.031766 | -0.000723 [-0.004213,+0.003789] | -0.003574 | +0.000818 | 0.0% / 0.0% |
| project | 4/20 | 20/7 | 0.090254 | -0.028355 [-0.064406,+0.003822] | -0.023969 | -0.001778 | 23.3% / 16.7% |
| project | 8/40 | 40/16 | 0.156402 | -0.021353 [-0.051354,+0.008648] | -0.025555 | +0.000715 | 20.0% / 13.3% |
| project | 12/60 | 60/21 | 0.215818 | +0.019924 [-0.012336,+0.052649] | -0.006936 | +0.009219 | 26.7% / 16.7% |

### last_four_blocks

重算/恢复/梯度复现最大误差：0 / 0 / 0。

| 策略 | 轮次/经验 | 接受/投影 | 实际漂移 L2 | 同动作留出 ΔV [verb-bootstrap 95% CI] | 同任务异动作 ΔV | 异任务异动作 ΔV | 同动作 flip / harm |
|---|---:|---:|---:|---:|---:|---:|---:|
| direct | 1/5 | 5/0 | 0.013460 | -0.001102 [-0.005612,+0.004338] | -0.003323 | +0.002565 | 0.0% / 0.0% |
| direct | 4/20 | 20/0 | 0.034065 | -0.017586 [-0.046950,+0.006831] | -0.014801 | +0.002765 | 16.7% / 13.3% |
| direct | 8/40 | 40/0 | 0.054797 | -0.007410 [-0.029610,+0.012464] | -0.009410 | +0.012226 | 6.7% / 6.7% |
| direct | 12/60 | 60/0 | 0.084971 | +0.026910 [+0.012865,+0.042460] | +0.010314 | +0.021573 | 30.0% / 10.0% |
| positive_filter | 1/5 | 4/0 | 0.015191 | -0.008295 [-0.022893,+0.004465] | -0.007754 | +0.002396 | 6.7% / 6.7% |
| positive_filter | 4/20 | 14/0 | 0.042577 | -0.044816 [-0.103713,+0.004445] | -0.032846 | -0.000338 | 23.3% / 20.0% |
| positive_filter | 8/40 | 25/0 | 0.079524 | -0.089229 [-0.191229,+0.001929] | -0.058286 | -0.008051 | 33.3% / 26.7% |
| positive_filter | 12/60 | 34/0 | 0.100321 | -0.100229 [-0.209844,+0.002866] | -0.065400 | -0.009273 | 36.7% / 26.7% |
| project | 1/5 | 5/2 | 0.015421 | -0.000321 [-0.003949,+0.004408] | -0.002848 | +0.002536 | 0.0% / 0.0% |
| project | 4/20 | 20/7 | 0.041855 | -0.019716 [-0.051941,+0.007385] | -0.016541 | +0.003167 | 16.7% / 13.3% |
| project | 8/40 | 40/15 | 0.076691 | -0.015226 [-0.047973,+0.012844] | -0.015421 | +0.012282 | 23.3% / 16.7% |
| project | 12/60 | 60/21 | 0.105224 | +0.021601 [+0.008669,+0.034505] | +0.005823 | +0.024355 | 26.7% / 6.7% |

## valid_unseen

### last_mlp

重算/恢复/梯度复现最大误差：0 / 0 / 0。

| 策略 | 轮次/经验 | 接受/投影 | 实际漂移 L2 | 同动作留出 ΔV [verb-bootstrap 95% CI] | 同任务异动作 ΔV | 异任务异动作 ΔV | 同动作 flip / harm |
|---|---:|---:|---:|---:|---:|---:|---:|
| direct | 1/5 | 5/0 | 0.019270 | +0.002040 [-0.000154,+0.005149] | +0.001741 | +0.000992 | 0.0% / 0.0% |
| direct | 4/20 | 20/0 | 0.055559 | +0.010002 [+0.002202,+0.022238] | -0.003959 | -0.001087 | 13.3% / 3.3% |
| direct | 8/40 | 40/0 | 0.130892 | +0.021329 [+0.000884,+0.050131] | -0.005977 | -0.007982 | 30.0% / 6.7% |
| direct | 12/60 | 60/0 | 0.187719 | +0.044269 [+0.001535,+0.109606] | +0.014408 | +0.006515 | 60.0% / 16.7% |
| positive_filter | 1/5 | 3/0 | 0.027736 | +0.012849 [-0.003206,+0.037946] | +0.018216 | +0.017086 | 20.0% / 3.3% |
